date,data,cols
1999-12-27,1.8541,tmin
2000-01-03,2.9894,tmin
2000-01-10,0.2821,tmin
2000-01-17,2.4369,tmin
2000-01-24,1.0736,tmin
2000-01-31,5.7402,tmin
2000-02-07,3.7623,tmin
2000-02-14,0.6233,tmin
2000-02-21,0.4646,tmin
2000-02-28,2.0723,tmin
2000-03-06,4.8033,tmin
2000-03-13,4.1779,tmin
2000-03-20,3.071,tmin
2000-03-27,2.8462,tmin
2000-04-03,2.3446,tmin
2000-04-10,2.2058,tmin
2000-04-17,7.5382,tmin
2000-04-24,8.8879,tmin
2000-05-01,9.9289,tmin
2000-05-08,11.6228,tmin
2000-05-15,9.4816,tmin
2000-05-22,8.9652,tmin
2000-05-29,8.554,tmin
2000-06-05,9.596,tmin
2000-06-12,11.0617,tmin
2000-06-19,14.3433,tmin
2000-06-26,9.6784,tmin
2000-07-03,11.955,tmin
2000-07-10,10.5211,tmin
2000-07-17,11.6223,tmin
2000-07-24,12.7891,tmin
2000-07-31,13.0345,tmin
2000-08-07,12.2148,tmin
2000-08-14,14.2282,tmin
2000-08-21,11.3338,tmin
2000-08-28,11.1137,tmin
2000-09-04,11.8154,tmin
2000-09-11,12.878,tmin
2000-09-18,9.5762,tmin
2000-09-25,12.2626,tmin
2000-10-02,7.7575,tmin
2000-10-09,7.2458,tmin
2000-10-16,7.9949,tmin
2000-10-23,9.6154,tmin
2000-10-30,5.7444,tmin
2000-11-06,5.685,tmin
2000-11-13,4.1837,tmin
2000-11-20,3.7564,tmin
2000-11-27,6.9675,tmin
2000-12-04,7.2764,tmin
2000-12-11,5.5404,tmin
2000-12-18,-3.4041,tmin
2000-12-25,-3.1845,tmin
2001-01-01,2.9145,tmin
2001-01-08,-1.142,tmin
2001-01-15,-4.2472,tmin
2001-01-22,1.2587,tmin
2001-01-29,-2.8352,tmin
2001-02-05,2.0707,tmin
2001-02-12,0.7851,tmin
2001-02-19,0.1904,tmin
2001-02-26,-2.2152,tmin
2001-03-05,2.5035,tmin
2001-03-12,1.8486,tmin
2001-03-19,-0.9954,tmin
2001-03-26,1.3425,tmin
2001-04-02,5.045,tmin
2001-04-09,1.7643,tmin
2001-04-16,0.9427,tmin
2001-04-23,4.5704,tmin
2001-04-30,5.9448,tmin
2001-05-07,8.1124,tmin
2001-05-14,8.3943,tmin
2001-05-21,7.2266,tmin
2001-05-28,9.9445,tmin
2001-06-04,7.8435,tmin
2001-06-11,8.7335,tmin
2001-06-18,9.924,tmin
2001-06-25,12.7751,tmin
2001-07-02,15.8593,tmin
2001-07-09,12.556,tmin
2001-07-16,11.8197,tmin
2001-07-23,13.775,tmin
2001-07-30,13.7433,tmin
2001-08-06,12.7771,tmin
2001-08-13,15.7666,tmin
2001-08-20,15.6929,tmin
2001-08-27,12.8454,tmin
2001-09-03,11.0756,tmin
2001-09-10,9.8774,tmin
2001-09-17,8.6758,tmin
2001-09-24,10.2875,tmin
2001-10-01,12.3783,tmin
2001-10-08,12.3511,tmin
2001-10-15,10.9586,tmin
2001-10-22,10.0365,tmin
2001-10-29,9.4894,tmin
2001-11-05,3.3435,tmin
2001-11-12,3.2685,tmin
2001-11-19,5.1915,tmin
2001-11-26,4.3839,tmin
2001-12-03,2.6204,tmin
2001-12-10,-2.1402,tmin
2001-12-17,-1.7773,tmin
2001-12-24,-0.8032,tmin
2001-12-31,-4.1003,tmin
2002-01-07,-1.132,tmin
2002-01-14,2.0468,tmin
2002-01-21,5.1624,tmin
2002-01-28,7.7588,tmin
2002-02-04,6.1821,tmin
2002-02-11,0.8178,tmin
2002-02-18,1.2244,tmin
2002-02-25,1.3849,tmin
2002-03-04,4.6957,tmin
2002-03-11,2.708,tmin
2002-03-18,3.8781,tmin
2002-03-25,-0.2605,tmin
2002-04-01,3.5095,tmin
2002-04-08,2.7838,tmin
2002-04-15,4.9269,tmin
2002-04-22,7.0891,tmin
2002-04-29,6.304,tmin
2002-05-06,9.2993,tmin
2002-05-13,9.0606,tmin
2002-05-20,11.3303,tmin
2002-05-27,9.2876,tmin
2002-06-03,13.6265,tmin
2002-06-10,11.8371,tmin
2002-06-17,12.6668,tmin
2002-06-24,10.9878,tmin
2002-07-01,11.6603,tmin
2002-07-08,13.0578,tmin
2002-07-15,13.8696,tmin
2002-07-22,13.4252,tmin
2002-07-29,17.0113,tmin
2002-08-05,15.143,tmin
2002-08-12,15.4809,tmin
2002-08-19,16.367,tmin
2002-08-26,14.6089,tmin
2002-09-02,12.5825,tmin
2002-09-09,13.5174,tmin
2002-09-16,11.3633,tmin
2002-09-23,8.8962,tmin
2002-09-30,8.556,tmin
2002-10-07,3.5497,tmin
2002-10-14,4.1236,tmin
2002-10-21,6.7183,tmin
2002-10-28,4.2503,tmin
2002-11-04,3.0101,tmin
2002-11-11,5.2727,tmin
2002-11-18,2.0442,tmin
2002-11-25,4.4397,tmin
2002-12-02,0.899,tmin
2002-12-09,-7.1223,tmin
2002-12-16,-2.6636,tmin
2002-12-23,3.4108,tmin
2002-12-30,-3.1804,tmin
2003-01-06,-7.9204,tmin
2003-01-13,2.8129,tmin
2003-01-20,2.9828,tmin
2003-01-27,-1.4393,tmin
2003-02-03,0.2216,tmin
2003-02-10,-4.3137,tmin
2003-02-17,-4.5725,tmin
2003-02-24,-0.2283,tmin
2003-03-03,3.3725,tmin
2003-03-10,1.3833,tmin
2003-03-17,-0.7801,tmin
2003-03-24,2.828,tmin
2003-03-31,1.572,tmin
2003-04-07,-1.9049,tmin
2003-04-14,6.0097,tmin
2003-04-21,7.4529,tmin
2003-04-28,8.6299,tmin
2003-05-05,7.5778,tmin
2003-05-12,7.3205,tmin
2003-05-19,9.9148,tmin
2003-05-26,10.47,tmin
2003-06-02,13.6163,tmin
2003-06-09,11.0136,tmin
2003-06-16,11.8933,tmin
2003-06-23,12.4614,tmin
2003-06-30,12.9458,tmin
2003-07-07,11.7373,tmin
2003-07-14,15.7718,tmin
2003-07-21,14.9124,tmin
2003-07-28,14.7456,tmin
2003-08-04,16.8427,tmin
2003-08-11,15.8253,tmin
2003-08-18,14.8141,tmin
2003-08-25,12.3574,tmin
2003-09-01,10.9073,tmin
2003-09-08,9.9576,tmin
2003-09-15,12.3662,tmin
2003-09-22,8.5939,tmin
2003-09-29,7.3181,tmin
2003-10-06,8.2413,tmin
2003-10-13,1.9784,tmin
2003-10-20,-0.3852,tmin
2003-10-27,1.4684,tmin
2003-11-03,5.2698,tmin
2003-11-10,3.0056,tmin
2003-11-17,8.0087,tmin
2003-11-24,3.7087,tmin
2003-12-01,2.4508,tmin
2003-12-08,-1.2518,tmin
2003-12-15,2.0545,tmin
2003-12-22,2.2275,tmin
2003-12-29,-2.0996,tmin
2004-01-05,2.5764,tmin
2004-01-12,2.6296,tmin
2004-01-19,-0.4996,tmin
2004-01-26,-0.0416,tmin
2004-02-02,7.1535,tmin
2004-02-09,2.3917,tmin
2004-02-16,-0.4216,tmin
2004-02-23,-3.189,tmin
2004-03-01,-1.0493,tmin
2004-03-08,0.4406,tmin
2004-03-15,6.4798,tmin
2004-03-22,0.5729,tmin
2004-03-29,5.3178,tmin
2004-04-05,3.0191,tmin
2004-04-12,4.8889,tmin
2004-04-19,4.8947,tmin
2004-04-26,8.8596,tmin
2004-05-03,7.5248,tmin
2004-05-10,8.2356,tmin
2004-05-17,7.3654,tmin
2004-05-24,6.8342,tmin
2004-05-31,10.169,tmin
2004-06-07,12.8243,tmin
2004-06-14,10.4354,tmin
2004-06-21,10.5862,tmin
2004-06-28,11.4968,tmin
2004-07-05,10.6975,tmin
2004-07-12,12.9551,tmin
2004-07-19,13.4303,tmin
2004-07-26,12.7655,tmin
2004-08-02,16.2814,tmin
2004-08-09,16.7794,tmin
2004-08-16,14.3363,tmin
2004-08-23,12.2686,tmin
2004-08-30,11.9018,tmin
2004-09-06,12.6689,tmin
2004-09-13,11.0886,tmin
2004-09-20,10.3033,tmin
2004-09-27,10.5035,tmin
2004-10-04,9.0818,tmin
2004-10-11,4.6067,tmin
2004-10-18,9.4361,tmin
2004-10-25,7.7972,tmin
2004-11-01,6.9549,tmin
2004-11-08,2.1286,tmin
2004-11-15,4.2056,tmin
2004-11-22,1.5169,tmin
2004-11-29,2.015,tmin
2004-12-06,1.2803,tmin
2004-12-13,0.6566,tmin
2004-12-20,0.2756,tmin
2004-12-27,1.6671,tmin
2005-01-03,5.684,tmin
2005-01-10,2.9728,tmin
2005-01-17,1.9579,tmin
2005-01-24,-1.8194,tmin
2005-01-31,2.3399,tmin
2005-02-07,-0.1459,tmin
2005-02-14,-0.9042,tmin
2005-02-21,-2.5165,tmin
2005-02-28,-7.9749,tmin
2005-03-07,-1.0062,tmin
2005-03-14,4.3738,tmin
2005-03-21,5.0993,tmin
2005-03-28,5.133,tmin
2005-04-04,4.3597,tmin
2005-04-11,6.4029,tmin
2005-04-18,3.8412,tmin
2005-04-25,7.2247,tmin
2005-05-02,6.6836,tmin
2005-05-09,5.2442,tmin
2005-05-16,6.8717,tmin
2005-05-23,11.3457,tmin
2005-05-30,10.1376,tmin
2005-06-06,7.252,tmin
2005-06-13,10.2083,tmin
2005-06-20,13.9337,tmin
2005-06-27,11.9913,tmin
2005-07-04,12.7537,tmin
2005-07-11,14.2202,tmin
2005-07-18,13.1388,tmin
2005-07-25,13.9013,tmin
2005-08-01,11.0812,tmin
2005-08-08,11.8249,tmin
2005-08-15,13.3964,tmin
2005-08-22,11.518,tmin
2005-08-29,13.3068,tmin
2005-09-05,15.3151,tmin
2005-09-12,10.3826,tmin
2005-09-19,9.2327,tmin
2005-09-26,10.0777,tmin
2005-10-03,9.786,tmin
2005-10-10,9.7886,tmin
2005-10-17,7.2941,tmin
2005-10-24,12.0168,tmin
2005-10-31,9.4695,tmin
2005-11-07,7.5176,tmin
2005-11-14,2.3247,tmin
2005-11-21,0.8747,tmin
2005-11-28,0.4049,tmin
2005-12-05,2.4568,tmin
2005-12-12,3.5175,tmin
2005-12-19,3.4974,tmin
2005-12-26,-2.3019,tmin
2006-01-02,-0.9627,tmin
2006-01-09,-2.1763,tmin
2006-01-16,-1.0884,tmin
2006-01-23,-4.9868,tmin
2006-01-30,-1.7317,tmin
2006-02-06,-0.0029,tmin
2006-02-13,0.8777,tmin
2006-02-20,-0.8405,tmin
2006-02-27,-2.939,tmin
2006-03-06,-2.4485,tmin
2006-03-13,-3.0384,tmin
2006-03-20,0.0886,tmin
2006-03-27,6.2435,tmin
2006-04-03,2.2386,tmin
2006-04-10,2.9004,tmin
2006-04-17,5.3879,tmin
2006-04-24,5.2278,tmin
2006-05-01,9.3936,tmin
2006-05-08,9.1951,tmin
2006-05-15,9.7097,tmin
2006-05-22,8.4459,tmin
2006-05-29,7.5779,tmin
2006-06-05,8.6263,tmin
2006-06-12,12.632,tmin
2006-06-19,13.1429,tmin
2006-06-26,12.4478,tmin
2006-07-03,16.9156,tmin
2006-07-10,13.2695,tmin
2006-07-17,16.4766,tmin
2006-07-24,17.377,tmin
2006-07-31,14.1916,tmin
2006-08-07,12.3737,tmin
2006-08-14,14.0898,tmin
2006-08-21,13.1124,tmin
2006-08-28,12.9368,tmin
2006-09-04,12.9496,tmin
2006-09-11,15.0523,tmin
2006-09-18,13.9084,tmin
2006-09-25,13.2392,tmin
