dataset,horizon,DAG_mse,SWAN_V3_FINAL_current_best_mse,delta_best_minus_DAG,winner_by_mse,best_from_model,best_source_file,DAG_source_file,final_params_json
BE,24,0.3611011876,0.3641438739,0.0030426863,DAG,SWAN_V3_TUNE_R4,E:/Project/TimeSeq/DAG/result/BE/SWAN_V3_TUNE_R4/BE_h24_A/test_report.1775632102.autodl-container-98a74c9ae6-8384db31.1776.csv,E:/Project/TimeSeq/DAG/result/BE/DAG/test_report.1774685455.DESKTOP-FQEO3JL.33428.csv,"{""adaptive_alpha"": true, ""alpha"": 0.7, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 256, ""d_model"": 64, ""density_lambda"": 0.08, ""dropout"": 0.0, ""dynamic_sparse"": true, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 24, ""loss"": ""MAE"", ""lr"": 0.0001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 50, ""patch_len"": 8, ""patience"": 5, ""phase_weight"": 0.3, ""seq_len"": 168, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 8, ""target_mask_density"": 0.35, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.05, ""weight_gate_sharpness"": 8.0}"
BE,360,0.4856566374,0.5141452297,0.0284885923,DAG,SWAN_V3,E:/Project/TimeSeq/DAG/result/BE/SWAN_V3/test_report.1775478521.autodl-container-98a74c9ae6-8384db31.15974.csv,E:/Project/TimeSeq/DAG/result/BE/DAG/test_report.1774685592.DESKTOP-FQEO3JL.18800.csv,"{""adaptive_alpha"": true, ""alpha"": 0.7, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 256, ""d_model"": 64, ""density_lambda"": 0.08, ""dropout"": 0.0, ""dynamic_sparse"": true, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 360, ""loss"": ""MAE"", ""lr"": 0.0001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 50, ""patch_len"": 8, ""patience"": 5, ""phase_weight"": 0.3, ""seq_len"": 720, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 8, ""target_mask_density"": 0.35, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.05, ""weight_gate_sharpness"": 8.0}"
Colbun,10,0.0591918464,0.0532078046,-0.0059840418,SWAN_V3_FINAL_BEST,SWAN_V3_TUNE,E:/Project/TimeSeq/DAG/result/Colbun/SWAN_V3_TUNE/test_report.1775552963.autodl-container-8d624e9d85-a6740c46.24165.csv,E:/Project/TimeSeq/DAG/result/Colbun/DAG/test_report.1774686847.DESKTOP-FQEO3JL.3284.csv,"{""adaptive_alpha"": true, ""alpha"": 0.9, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 64, ""d_model"": 128, ""density_lambda"": 0.04, ""dropout"": 0.0, ""dynamic_sparse"": true, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 10, ""loss"": ""MAE"", ""lr"": 0.001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 80, ""patch_len"": 30, ""patience"": 10, ""phase_weight"": 0.15, ""seq_len"": 60, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 200, ""stride"": 30, ""target_mask_density"": 0.5, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.03, ""weight_gate_sharpness"": 8.0}"
Colbun,30,0.1803532354,0.1979170673,0.0175638319,DAG,SWAN_V3_TUNE_R3,E:/Project/TimeSeq/DAG/result/Colbun/SWAN_V3_TUNE_R3/Colbun_h30_B/test_report.1775621467.autodl-container-98a74c9ae6-8384db31.2936.csv,E:/Project/TimeSeq/DAG/result/Colbun/DAG/test_report.1774686865.DESKTOP-FQEO3JL.23268.csv,"{""adaptive_alpha"": true, ""alpha"": 0.9, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 64, ""d_model"": 64, ""density_lambda"": 0.01, ""dropout"": 0.0, ""dynamic_sparse"": false, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 30, ""loss"": ""MAE"", ""lr"": 0.0005, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 120, ""patch_len"": 30, ""patience"": 15, ""phase_weight"": 0.08, ""seq_len"": 180, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 200, ""stride"": 30, ""target_mask_density"": 0.7, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.03, ""weight_gate_sharpness"": 8.0}"
DE,24,0.2826837267,0.2888426729,0.0061589462,DAG,SWAN_V3,E:/Project/TimeSeq/DAG/result/DE/SWAN_V3/test_report.1775480758.autodl-container-98a74c9ae6-8384db31.23185.csv,E:/Project/TimeSeq/DAG/result/DE/DAG/test_report.1774686307.DESKTOP-FQEO3JL.34400.csv,"{""adaptive_alpha"": true, ""alpha"": 0.7, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 64, ""d_model"": 128, ""density_lambda"": 0.08, ""dropout"": 0.0, ""dynamic_sparse"": true, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 24, ""loss"": ""MAE"", ""lr"": 0.001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 50, ""patch_len"": 48, ""patience"": 5, ""phase_weight"": 0.3, ""seq_len"": 168, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 48, ""target_mask_density"": 0.35, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.05, ""weight_gate_sharpness"": 8.0}"
DE,360,0.4613223073,0.4599911459,-0.0013311615,SWAN_V3_FINAL_BEST,SWAN_V3_TUNE,E:/Project/TimeSeq/DAG/result/DE/SWAN_V3_TUNE/test_report.1775551550.autodl-container-8d624e9d85-a6740c46.17273.csv,E:/Project/TimeSeq/DAG/result/DE/DAG/test_report.1774686400.DESKTOP-FQEO3JL.18420.csv,"{""adaptive_alpha"": true, ""alpha"": 0.7, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 64, ""d_model"": 128, ""density_lambda"": 0.05, ""dropout"": 0.0, ""dynamic_sparse"": true, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 360, ""loss"": ""MAE"", ""lr"": 0.001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 100, ""patch_len"": 48, ""patience"": 10, ""phase_weight"": 0.2, ""seq_len"": 720, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 48, ""target_mask_density"": 0.5, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.03, ""weight_gate_sharpness"": 8.0}"
ETTh1,96,0.0848596725,0.0836568598,-0.0012028127,SWAN_V3_FINAL_BEST,SWAN_V3_TUNE,E:/Project/TimeSeq/DAG/result/ETTh1/SWAN_V3_TUNE/test_report.1775547277.autodl-container-8d624e9d85-a6740c46.2224.csv,E:/Project/TimeSeq/DAG/result/ETTh1/DAG/test_report.1774687015.DESKTOP-FQEO3JL.14108.csv,"{""adaptive_alpha"": true, ""alpha"": 0.95, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 512, ""d_model"": 1024, ""density_lambda"": 0.06, ""dropout"": 0.1, ""dynamic_sparse"": true, ""e_layers"": 2, ""freq_use_phase"": true, ""horizon"": 96, ""loss"": ""MAE"", ""lr"": 0.0001, ""lradj"": ""type3"", ""n_heads"": 2, ""norm"": true, ""num_epochs"": 100, ""patch_len"": 24, ""patience"": 12, ""phase_weight"": 0.45, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 24, ""target_mask_density"": 0.4, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.04, ""weight_gate_sharpness"": 8.0}"
ETTh1,192,0.1473986131,0.1065995140,-0.0407990991,SWAN_V3_FINAL_BEST,SWAN_V3,E:/Project/TimeSeq/DAG/result/ETTh1/SWAN_V3/test_report.1775476421.autodl-container-98a74c9ae6-8384db31.6322.csv,E:/Project/TimeSeq/DAG/result/ETTh1/DAG/test_report.1774687182.DESKTOP-FQEO3JL.24328.csv,"{""adaptive_alpha"": true, ""alpha"": 0.95, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 512, ""d_model"": 1024, ""density_lambda"": 0.08, ""dropout"": 0.1, ""dynamic_sparse"": true, ""e_layers"": 2, ""freq_use_phase"": true, ""horizon"": 192, ""loss"": ""MAE"", ""lr"": 0.0001, ""lradj"": ""type3"", ""n_heads"": 2, ""norm"": true, ""num_epochs"": 50, ""patch_len"": 24, ""patience"": 5, ""phase_weight"": 0.6, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""target_mask_density"": 0.32, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.05, ""weight_gate_sharpness"": 8.0}"
ETTh1,336,0.1240239038,0.1109826337,-0.0130412701,SWAN_V3_FINAL_BEST,SWAN_V3_TUNE,E:/Project/TimeSeq/DAG/result/ETTh1/SWAN_V3_TUNE/test_report.1775549238.autodl-container-8d624e9d85-a6740c46.9456.csv,E:/Project/TimeSeq/DAG/result/ETTh1/DAG/test_report.1774687369.DESKTOP-FQEO3JL.21184.csv,"{""adaptive_alpha"": true, ""alpha"": 0.95, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 512, ""d_model"": 1024, ""density_lambda"": 0.06, ""dropout"": 0.1, ""dynamic_sparse"": true, ""e_layers"": 2, ""freq_use_phase"": true, ""horizon"": 336, ""loss"": ""MAE"", ""lr"": 0.0001, ""lradj"": ""type3"", ""n_heads"": 2, ""norm"": true, ""num_epochs"": 100, ""patch_len"": 24, ""patience"": 12, ""phase_weight"": 0.45, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 24, ""target_mask_density"": 0.4, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.04, ""weight_gate_sharpness"": 8.0}"
ETTh1,720,0.1830004055,0.1289341277,-0.0540662778,SWAN_V3_FINAL_BEST,SWAN_V3,E:/Project/TimeSeq/DAG/result/ETTh1/SWAN_V3/test_report.1775476607.autodl-container-98a74c9ae6-8384db31.7681.csv,E:/Project/TimeSeq/DAG/result/ETTh1/DAG/test_report.1774687575.DESKTOP-FQEO3JL.30752.csv,"{""adaptive_alpha"": true, ""alpha"": 0.95, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 512, ""d_model"": 1024, ""density_lambda"": 0.08, ""dropout"": 0.1, ""dynamic_sparse"": true, ""e_layers"": 2, ""freq_use_phase"": true, ""horizon"": 720, ""loss"": ""MAE"", ""lr"": 0.0001, ""lradj"": ""type3"", ""n_heads"": 2, ""norm"": true, ""num_epochs"": 50, ""patch_len"": 24, ""patience"": 5, ""phase_weight"": 0.6, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""target_mask_density"": 0.32, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.05, ""weight_gate_sharpness"": 8.0}"
