"dataset","horizon","DAG_mse","SWAN_V3_TUNE_mse","DAG_mae","SWAN_V3_TUNE_mae","DAG_rmse","SWAN_V3_TUNE_rmse","winner_by_mse"
"BE","24","0.3611","0.3671","0.2291","0.2272","0.3071","0.3059","DAG"
"BE","360","0.4857","0.5148","0.3302","0.3630","0.5086","0.5413","DAG"
"Colbun","10","0.0592","0.0532","0.0925","0.0982","0.1162","0.1202","SWAN_V3_TUNE"
"Colbun","30","0.1804","0.2890","0.2564","0.4047","0.3088","0.4551","DAG"
"DE","24","0.2827","0.2977","0.3219","0.3297","0.3990","0.4108","DAG"
"DE","360","0.4613","0.4600","0.4175","0.4195","0.5963","0.5956","SWAN_V3_TUNE"
"Electricity","96","0.1598","0.1587","0.2997","0.3009","0.3820","0.3838","SWAN_V3_TUNE"
"Electricity","192","0.1559","0.1852","0.2944","0.3156","0.3806","0.4034","DAG"
"Energy","24","0.0789","0.0923","0.2152","0.2382","0.2617","0.2861","DAG"
"Energy","360","0.1691","0.2052","0.3201","0.3555","0.4078","0.4420","DAG"
"ETTh1","96","0.0849","0.0837","0.2232","0.2228","0.2668","0.2656","SWAN_V3_TUNE"
"ETTh1","192","0.1474","0.1076","0.2974","0.2621","0.3504","0.3115","SWAN_V3_TUNE"
"ETTh1","336","0.1240","0.1110","0.2751","0.2666","0.3361","0.3220","SWAN_V3_TUNE"
"ETTh1","720","0.1830","0.1429","0.3460","0.3086","0.4136","0.3696","SWAN_V3_TUNE"
"ETTh2","96","0.2473","0.2136","0.3761","0.3522","0.4547","0.4268","SWAN_V3_TUNE"
"ETTh2","192","0.2813","0.2660","0.4107","0.4031","0.4991","0.4861","SWAN_V3_TUNE"
"ETTh2","336","0.3239","0.3035","0.4490","0.4235","0.5468","0.5119","SWAN_V3_TUNE"
"ETTh2","720","0.4514","0.4879","0.5356","0.5525","0.6546","0.6728","DAG"
"ETTm1","96","0.0441","0.0423","0.1514","0.1505","0.1820","0.1783","SWAN_V3_TUNE"
"ETTm1","192","0.0724","0.0720","0.2001","0.2012","0.2396","0.2383","SWAN_V3_TUNE"
"ETTm1","336","0.1049","0.0970","0.2440","0.2345","0.2895","0.2796","SWAN_V3_TUNE"
"ETTm1","720","0.1490","0.1278","0.2934","0.2785","0.3495","0.3332","SWAN_V3_TUNE"
"ETTm2","96","0.1072","0.1107","0.2244","0.2308","0.2743","0.2819","DAG"
"ETTm2","192","0.1683","0.1789","0.2968","0.3070","0.3631","0.3752","DAG"
"ETTm2","336","0.2494","0.2417","0.3659","0.3623","0.4470","0.4435","SWAN_V3_TUNE"
"ETTm2","720","0.3399","0.3271","0.4418","0.4343","0.5367","0.5274","SWAN_V3_TUNE"
"FR","24","0.3551","0.3564","0.1713","0.1786","0.2395","0.2462","DAG"
"FR","360","0.4712","0.4755","0.2676","0.2738","0.4290","0.4303","DAG"
"NP","24","0.2028","0.2056","0.2353","0.2350","0.3085","0.3078","DAG"
"NP","360","0.5264","0.6636","0.4528","0.5663","0.6414","0.7552","DAG"
"PJM","24","0.0571","0.0573","0.1432","0.1428","0.1819","0.1815","DAG"
"PJM","360","0.1295","0.1236","0.2175","0.2155","0.2979","0.2945","SWAN_V3_TUNE"
"Rapel","10","0.1519","0.1590","0.2036","0.2042","0.2484","0.2495","DAG"
"Rapel","30","0.3277","0.3461","0.4087","0.4414","0.4916","0.5233","DAG"
"Sdwpfh1","24","0.4057","0.4023","0.4370","0.4376","0.5479","0.5486","SWAN_V3_TUNE"
"Sdwpfh1","360","0.4889","0.5155","0.5318","0.5589","0.6909","0.7103","DAG"
"Sdwpfh2","24","0.4503","0.4548","0.4736","0.4849","0.5918","0.5984","DAG"
"Sdwpfh2","360","0.6070","0.6337","0.5954","0.6216","0.7730","0.7896","DAG"
"Sdwpfm1","24","0.3452","0.3807","0.3921","0.3973","0.4750","0.4840","DAG"
"Sdwpfm1","360","0.4992","0.4839","0.5266","0.5288","0.6881","0.6802","SWAN_V3_TUNE"
"Sdwpfm2","24","0.3720","0.3842","0.4145","0.4237","0.5021","0.5115","DAG"
"Sdwpfm2","360","0.5870","0.5578","0.5575","0.5591","0.7514","0.7342","SWAN_V3_TUNE"
"Weather","96","0.0010","0.0012","0.0228","0.0249","0.0260","0.0280","DAG"
"Weather","192","0.0009","0.0009","0.0214","0.0211","0.0259","0.0253","SWAN_V3_TUNE"
"Weather","336","0.0015","0.0017","0.0274","0.0294","0.0333","0.0358","DAG"
"Weather","720","0.0017","0.0015","0.0302","0.0282","0.0371","0.0353","SWAN_V3_TUNE"
