"dataset","horizon","DAG_mse","SWAN_V3_TUNE_mse","DAG_mae","SWAN_V3_TUNE_mae","DAG_rmse","SWAN_V3_TUNE_rmse","winner_by_mse"
"Colbun","10","0.0592","0.0532","0.0925","0.0982","0.1162","0.1202","SWAN_V3_TUNE"
"DE","360","0.4613","0.4600","0.4175","0.4195","0.5963","0.5956","SWAN_V3_TUNE"
"Electricity","96","0.1598","0.1587","0.2997","0.3009","0.3820","0.3838","SWAN_V3_TUNE"
"ETTh1","96","0.0849","0.0837","0.2232","0.2228","0.2668","0.2656","SWAN_V3_TUNE"
"ETTh1","192","0.1474","0.1076","0.2974","0.2621","0.3504","0.3115","SWAN_V3_TUNE"
"ETTh1","336","0.1240","0.1110","0.2751","0.2666","0.3361","0.3220","SWAN_V3_TUNE"
"ETTh1","720","0.1830","0.1429","0.3460","0.3086","0.4136","0.3696","SWAN_V3_TUNE"
"ETTh2","96","0.2473","0.2136","0.3761","0.3522","0.4547","0.4268","SWAN_V3_TUNE"
"ETTh2","192","0.2813","0.2660","0.4107","0.4031","0.4991","0.4861","SWAN_V3_TUNE"
"ETTh2","336","0.3239","0.3035","0.4490","0.4235","0.5468","0.5119","SWAN_V3_TUNE"
"ETTm1","96","0.0441","0.0423","0.1514","0.1505","0.1820","0.1783","SWAN_V3_TUNE"
"ETTm1","192","0.0724","0.0720","0.2001","0.2012","0.2396","0.2383","SWAN_V3_TUNE"
"ETTm1","336","0.1049","0.0970","0.2440","0.2345","0.2895","0.2796","SWAN_V3_TUNE"
"ETTm1","720","0.1490","0.1278","0.2934","0.2785","0.3495","0.3332","SWAN_V3_TUNE"
"ETTm2","336","0.2494","0.2417","0.3659","0.3623","0.4470","0.4435","SWAN_V3_TUNE"
"ETTm2","720","0.3399","0.3271","0.4418","0.4343","0.5367","0.5274","SWAN_V3_TUNE"
"PJM","360","0.1295","0.1236","0.2175","0.2155","0.2979","0.2945","SWAN_V3_TUNE"
"Sdwpfh1","24","0.4057","0.4023","0.4370","0.4376","0.5479","0.5486","SWAN_V3_TUNE"
"Sdwpfm1","360","0.4992","0.4839","0.5266","0.5288","0.6881","0.6802","SWAN_V3_TUNE"
"Sdwpfm2","360","0.5870","0.5578","0.5575","0.5591","0.7514","0.7342","SWAN_V3_TUNE"
"Weather","192","0.0009","0.0009","0.0214","0.0211","0.0259","0.0253","SWAN_V3_TUNE"
"Weather","720","0.0017","0.0015","0.0302","0.0282","0.0371","0.0353","SWAN_V3_TUNE"
