dataset,horizon,DAG,SWAN,SWAN_V3
BE,24,0.3611011876270744,0.3664407026261841,0.3658231648366848
BE,360,0.4856566373853589,0.4960160740938471,0.514145229662453
Colbun,10,0.0591918464021098,0.064095433601934,0.0560308354000146
Colbun,30,0.1803532353712401,0.1608298286777214,0.2561797356322373
DE,24,0.2826837266928623,0.2996266594642655,0.288842672924681
DE,360,0.461322307340062,0.4694930119801405,0.4647250921301743
ETTh1,96,0.0848596725350006,0.1024673401909893,0.0887604589634925
ETTh1,192,0.1473986131434406,0.13854057490246,0.106599514009301
ETTh1,336,0.1240239038209203,0.1351068437043088,0.1178732068022704
ETTh1,720,0.1830004054995125,0.1434968515908758,0.1289341277266018
ETTh2,96,0.2472690513566013,0.2389693162381621,0.2309608521717323
ETTh2,192,0.2812976868383399,0.289525504580719,0.2549232753965111
ETTh2,336,0.3239410444511547,0.3318231410593496,0.3088829551929845
ETTh2,720,0.4514175937169399,0.4750180153180592,0.5647837489957913
ETTm1,96,0.0440786736330641,0.0440466880341322,0.0420710960890811
ETTm1,192,0.0723788946266362,0.072405178354823,0.0692479718721812
ETTm1,336,0.1048561718989699,0.1061305474036703,0.0914640733741275
ETTm1,720,0.1489703721311801,0.148699405618281,0.1300129009753863
ETTm2,96,0.1071901677282453,0.1037316474663455,0.109003004355218
ETTm2,192,0.1683240992455699,0.168542555715394,0.1681194661642963
ETTm2,336,0.2493701693799076,0.2453464196844684,0.2453842397152508
ETTm2,720,0.3399180509177977,0.336593210913877,0.355975151078834
Electricity,96,0.1598225203123373,0.1408496966691712,0.134997310780669
Electricity,192,0.1558732009361146,0.1544111383662435,0.1819605627510376
Energy,24,0.0789354985417644,0.0901706226371278,0.0923943353301385
Energy,360,0.1691370549241583,0.22457515288594,0.2066236254087451
FR,24,0.3551217053606689,0.3572114665867651,0.3573984425390868
FR,360,0.4711533400464144,0.4665570477187162,0.4738720651025086
NP,24,0.2028413674703328,0.2101461171698716,0.2047967330859419
NP,360,0.5264330640302227,0.5669500635274963,0.6749895271496681
PJM,24,0.057112286333872,0.0568567658507288,0.0568801169580859
PJM,360,0.1295306856223744,0.1283105948416159,0.1329791694405751
Rapel,10,0.1518776070624951,0.1614533579255287,0.155336464733285
Rapel,30,0.327730343758354,0.3251658770896449,0.3369047400748141
Sdwpfh1,24,0.4057437781108768,0.3893916453223636,0.4015979801943596
Sdwpfh1,360,0.4889348524242838,0.6061970024842731,0.5362774955751184
Sdwpfh2,24,0.4503038883951708,0.4299017715428322,0.4577850640724477
Sdwpfh2,360,0.6069869167699629,0.621364386555968,0.651541910563264
Sdwpfm1,24,0.34523681206888,0.3633275054178943,0.3717881732597715
Sdwpfm1,360,0.4991882910101978,0.5217904740615319,0.482608380921823
Sdwpfm2,24,0.3719951305672262,0.3765730624568668,0.398206821415523
Sdwpfm2,360,0.5870024354547765,0.5756751278613507,0.569417781891823
Weather,96,0.0010157433774567,0.0011687502236422,0.0008181278288964
Weather,192,0.0009244820277653,0.0012453192561375,0.0012242057942856
Weather,336,0.0014766423176079,0.0012531685814396,0.0012760854346362
Weather,720,0.0016948190893918,0.0016527364727883,0.0017920025417266
