horizon,model,rank,window_idx,window_key,mae,image_path
12,targets_only,1,904,win_00904_ndarray,0.009081961059570265,result/maize_NL_NL11_daily_window_showcase_dynamic/h12/targets_only/top01_idx00904_mae0.009082.png
12,targets_only,2,903,win_00903_ndarray,0.009445266067504917,result/maize_NL_NL11_daily_window_showcase_dynamic/h12/targets_only/top02_idx00903_mae0.009445.png
12,targets_only,3,905,win_00905_ndarray,0.009557448898315446,result/maize_NL_NL11_daily_window_showcase_dynamic/h12/targets_only/top03_idx00905_mae0.009557.png
12,targets_only,4,30,win_00030_ndarray,0.009683955965677912,result/maize_NL_NL11_daily_window_showcase_dynamic/h12/targets_only/top04_idx00030_mae0.009684.png
12,targets_only,5,902,win_00902_ndarray,0.009835542828877811,result/maize_NL_NL11_daily_window_showcase_dynamic/h12/targets_only/top05_idx00902_mae0.009836.png
24,targets_only,1,524,win_00524_ndarray,0.015550802995046001,result/maize_NL_NL11_daily_window_showcase_dynamic/h24/targets_only/top01_idx00524_mae0.015551.png
24,targets_only,2,525,win_00525_ndarray,0.017993579368591323,result/maize_NL_NL11_daily_window_showcase_dynamic/h24/targets_only/top02_idx00525_mae0.017994.png
24,targets_only,3,863,win_00863_ndarray,0.018835203467051143,result/maize_NL_NL11_daily_window_showcase_dynamic/h24/targets_only/top03_idx00863_mae0.018835.png
24,targets_only,4,522,win_00522_ndarray,0.019396579269409114,result/maize_NL_NL11_daily_window_showcase_dynamic/h24/targets_only/top04_idx00522_mae0.019397.png
24,targets_only,5,527,win_00527_ndarray,0.019939253194173112,result/maize_NL_NL11_daily_window_showcase_dynamic/h24/targets_only/top05_idx00527_mae0.019939.png
48,targets_only,1,137,win_00137_ndarray,0.02496282633082077,result/maize_NL_NL11_daily_window_showcase_dynamic/h48/targets_only/top01_idx00137_mae0.024963.png
48,targets_only,2,153,win_00153_ndarray,0.02654222493108116,result/maize_NL_NL11_daily_window_showcase_dynamic/h48/targets_only/top02_idx00153_mae0.026542.png
48,targets_only,3,148,win_00148_ndarray,0.0274339145654043,result/maize_NL_NL11_daily_window_showcase_dynamic/h48/targets_only/top03_idx00148_mae0.027434.png
48,targets_only,4,164,win_00164_ndarray,0.027509509559631367,result/maize_NL_NL11_daily_window_showcase_dynamic/h48/targets_only/top04_idx00164_mae0.027510.png
48,targets_only,5,159,win_00159_ndarray,0.027828675701141354,result/maize_NL_NL11_daily_window_showcase_dynamic/h48/targets_only/top05_idx00159_mae0.027829.png
12,meteo_plus_targets,1,1403,win_01403_ndarray,0.25710546126301875,result/maize_NL_NL11_daily_window_showcase_dynamic/h12/meteo_plus_targets/top01_idx01403_mae0.257105.png
12,meteo_plus_targets,2,519,win_00519_ndarray,0.3216985787760412,result/maize_NL_NL11_daily_window_showcase_dynamic/h12/meteo_plus_targets/top02_idx00519_mae0.321699.png
12,meteo_plus_targets,3,755,win_00755_ndarray,0.3364204575195278,result/maize_NL_NL11_daily_window_showcase_dynamic/h12/meteo_plus_targets/top03_idx00755_mae0.336420.png
12,meteo_plus_targets,4,508,win_00508_ndarray,0.33992243961588997,result/maize_NL_NL11_daily_window_showcase_dynamic/h12/meteo_plus_targets/top04_idx00508_mae0.339922.png
12,meteo_plus_targets,5,1133,win_01133_ndarray,0.34671274918620537,result/maize_NL_NL11_daily_window_showcase_dynamic/h12/meteo_plus_targets/top05_idx01133_mae0.346713.png
24,meteo_plus_targets,1,733,win_00733_ndarray,0.43484757454427125,result/maize_NL_NL11_daily_window_showcase_dynamic/h24/meteo_plus_targets/top01_idx00733_mae0.434848.png
24,meteo_plus_targets,2,742,win_00742_ndarray,0.47852967220052517,result/maize_NL_NL11_daily_window_showcase_dynamic/h24/meteo_plus_targets/top02_idx00742_mae0.478530.png
24,meteo_plus_targets,3,40,win_00040_ndarray,0.5096131376139255,result/maize_NL_NL11_daily_window_showcase_dynamic/h24/meteo_plus_targets/top03_idx00040_mae0.509613.png
24,meteo_plus_targets,4,435,win_00435_ndarray,0.5494435493164124,result/maize_NL_NL11_daily_window_showcase_dynamic/h24/meteo_plus_targets/top04_idx00435_mae0.549444.png
24,meteo_plus_targets,5,1422,win_01422_ndarray,0.5882148879394554,result/maize_NL_NL11_daily_window_showcase_dynamic/h24/meteo_plus_targets/top05_idx01422_mae0.588215.png
48,meteo_plus_targets,1,1183,win_01183_ndarray,0.9673232884521497,result/maize_NL_NL11_daily_window_showcase_dynamic/h48/meteo_plus_targets/top01_idx01183_mae0.967323.png
48,meteo_plus_targets,2,728,win_00728_ndarray,1.0229562065429718,result/maize_NL_NL11_daily_window_showcase_dynamic/h48/meteo_plus_targets/top02_idx00728_mae1.022956.png
48,meteo_plus_targets,3,751,win_00751_ndarray,1.1281440030110694,result/maize_NL_NL11_daily_window_showcase_dynamic/h48/meteo_plus_targets/top03_idx00751_mae1.128144.png
48,meteo_plus_targets,4,729,win_00729_ndarray,1.1491718610839865,result/maize_NL_NL11_daily_window_showcase_dynamic/h48/meteo_plus_targets/top04_idx00729_mae1.149172.png
48,meteo_plus_targets,5,69,win_00069_ndarray,1.1539694834391294,result/maize_NL_NL11_daily_window_showcase_dynamic/h48/meteo_plus_targets/top05_idx00069_mae1.153969.png
96,meteo_plus_targets,1,889,win_00889_ndarray,1.8346017241210955,result/maize_NL_NL11_daily_window_showcase_dynamic/h96/meteo_plus_targets/top01_idx00889_mae1.834602.png
